model,classifier,source_species,target_species,accuracy,balanced_accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,mcc,roc_auc_macro,n_classes_in_test
radiomics,KNN_3,Ovale,Falciparum,0.6190476190476191,0.7894736842105263,0.6,0.9238095238095237,0.7894736842105263,0.6190476190476191,0.5333333333333333,0.6952380952380951,0.3402785236893603,,2
radiomics,KNN_5,Ovale,Falciparum,0.6190476190476191,0.7894736842105263,0.6,0.9238095238095237,0.7894736842105263,0.6190476190476191,0.5333333333333333,0.6952380952380951,0.3402785236893603,,2
radiomics,RF,Ovale,Vivax,0.3333333333333333,0.3333333333333333,0.17857142857142858,0.2380952380952381,0.25,0.3333333333333333,0.20833333333333334,0.2777777777777778,0.3479445003196105,,3
radiomics,LR,Ovale,Vivax,0.8666666666666667,0.6,0.45,0.8666666666666667,0.45,0.8666666666666667,0.45,0.8666666666666667,0.7542372881355932,,3
radiomics,KNN_1,Ovale,Vivax,0.4666666666666667,0.3481481481481481,0.39285714285714285,0.6761904761904761,0.26111111111111107,0.4666666666666667,0.3125,0.55,0.20858284573057004,,3
radiomics,KNN_3,Ovale,Vivax,0.4666666666666667,0.3481481481481481,0.39285714285714285,0.6761904761904761,0.26111111111111107,0.4666666666666667,0.3125,0.55,0.20858284573057004,,3
radiomics,KNN_5,Ovale,Vivax,0.4666666666666667,0.3481481481481481,0.39285714285714285,0.6761904761904761,0.26111111111111107,0.4666666666666667,0.3125,0.55,0.20858284573057004,,3
radiomics,RF,Ovale,Malariae,0.08333333333333333,0.3333333333333333,0.027777777777777776,0.006944444444444444,0.3333333333333333,0.08333333333333333,0.05128205128205129,0.012820512820512822,0.0,,3
radiomics,LR,Ovale,Malariae,0.08333333333333333,0.3333333333333333,0.027777777777777776,0.006944444444444444,0.3333333333333333,0.08333333333333333,0.05128205128205129,0.012820512820512822,0.0,,3
radiomics,KNN_1,Ovale,Malariae,0.08333333333333333,0.3333333333333333,0.027777777777777776,0.006944444444444444,0.3333333333333333,0.08333333333333333,0.05128205128205129,0.012820512820512822,0.0,,3
radiomics,KNN_3,Ovale,Malariae,0.08333333333333333,0.3333333333333333,0.027777777777777776,0.006944444444444444,0.3333333333333333,0.08333333333333333,0.05128205128205129,0.012820512820512822,0.0,,3
radiomics,KNN_5,Ovale,Malariae,0.08333333333333333,0.3333333333333333,0.027777777777777776,0.006944444444444444,0.3333333333333333,0.08333333333333333,0.05128205128205129,0.012820512820512822,0.0,,3
